iter	Passed	Remaining
424	1996	2700
425	2000	2695
426	2004	2690
427	2009	2685
428	2013	2680
429	2018	2675
430	2022	2670
431	2026	2665
432	2031	2659
433	2035	2654
434	2039	2649
435	2044	2644
436	2049	2640
437	2054	2636
438	2059	2631
439	2064	2626
440	2068	2622
441	2073	2617
442	2077	2612
443	2082	2607
444	2086	2602
445	2090	2597
446	2095	2592
447	2100	2587
448	2104	2583
449	2109	2577
450	2113	2573
451	2118	2568
452	2123	2563
453	2128	2559
454	2133	2555
455	2138	2551
456	2142	2546
457	2148	2542
458	2153	2537
459	2157	2533
460	2162	2528
461	2167	2524
462	2172	2519
463	2176	2514
464	2181	2509
465	2185	2504
466	2190	2499
467	2194	2494
468	2199	2489
469	2203	2485
470	2207	2479
471	2212	2474
472	2216	2469
473	2221	2465
474	2225	2459
475	2229	2454
476	2234	2449
477	2238	2444
478	2242	2439
479	2247	2434
480	2252	2430
481	2256	2425
482	2261	2420
483	2265	2415
484	2270	2410
485	2274	2405
486	2278	2400
487	2283	2395
488	2287	2390
489	2291	2385
490	2296	2380
491	2300	2375
492	2304	2370
493	2309	2365
494	2313	2360
495	2318	2355
496	2322	2350
497	2326	2345
498	2331	2340
499	2335	2335
500	2339	2330
501	2344	2325
502	2348	2320
503	2352	2315
504	2357	2310
505	2362	2306
506	2366	2301
507	2370	2296
508	2375	2291
509	2379	2286
510	2384	2281
511	2388	2276
512	2393	2272
513	2397	2267
514	2402	2262
515	2406	2257
516	2410	2252
517	2415	2247
518	2419	2242
519	2424	2237
520	2428	2232
521	2432	2227
522	2437	2222
523	2442	2218
524	2446	2213
525	2450	2208
526	2455	2203
527	2459	2198
528	2464	2193
529	2468	2189
530	2473	2184
531	2477	2179
532	2482	2174
533	2486	2169
534	2490	2164
535	2495	2160
536	2500	2155
537	2505	2151
538	2510	2147
539	2515	2143
540	2520	2138
541	2525	2134
542	2529	2128
543	2534	2124
544	2539	2119
545	2544	2115
546	2549	2111
547	2554	2106
548	2558	2102
549	2563	2097
550	2568	2092
551	2573	2088
552	2578	2084
553	2583	2079
554	2587	2074
555	2592	2069
556	2596	2065
557	2600	2060
558	2605	2055
559	2610	2051
560	2615	2046
561	2620	2042
562	2625	2037
563	2630	2033
564	2635	2028
565	2640	2024
566	2645	2020
567	2650	2015
568	2655	2011
569	2660	2006
570	2681	2014
571	2685	2009
572	2689	2004
573	2694	1999
574	2699	1995
575	2704	1990
576	2709	1986
577	2714	1981
578	2719	1977
579	2723	1972
580	2728	1967
581	2733	1963
582	2738	1958
583	2743	1954
584	2748	1950
585	2753	1945
586	2758	1940
587	2763	1936
588	2767	1931
589	2772	1926
590	2777	1922
591	2782	1917
592	2787	1913
593	2791	1908
594	2796	1903
595	2802	1899
596	2807	1895
597	2811	1890
598	2817	1886
599	2822	1881
600	2826	1876
601	2831	1872
602	2836	1867
603	2840	1862
604	2845	1857
605	2850	1853
606	2855	1848
607	2859	1843
608	2864	1839
609	2869	1834
610	2874	1829
611	2879	1825
612	2883	1820
613	2888	1815
614	2893	1811
615	2897	1806
616	2902	1801
617	2907	1797
618	2911	1791
619	2915	1786
620	2920	1782
621	2924	1777
622	2928	1772
623	2932	1767
624	2937	1762
625	2941	1757
626	2945	1752
627	2949	1747
628	2953	1742
629	2957	1737
630	2961	1731
631	2965	1726
632	2970	1721
633	2974	1716
634	2978	1712
635	2982	1707
636	2987	1702
637	2991	1697
638	2996	1692
639	3000	1687
640	3004	1682
641	3009	1678
642	3013	1673
643	3018	1668
644	3022	1663
