iter	Logloss
123	0.2424572131
124	0.2417462314
125	0.2412639453
126	0.240775935
127	0.2402482282
128	0.2397422325
129	0.2392587439
130	0.2387941384
131	0.2382841629
132	0.2375483878
133	0.2371900857
134	0.2367033964
135	0.236215674
136	0.2357941182
137	0.2353425359
138	0.2349571203
139	0.2346707089
140	0.2340303986
141	0.2339333588
142	0.23344418
143	0.2329710051
144	0.2324199444
145	0.2321016945
146	0.2314961187
147	0.2310720734
148	0.2308254094
149	0.2304249381
150	0.2301009133
151	0.2296362738
152	0.2291918891
153	0.2285362184
154	0.2275497149
155	0.227116914
156	0.2265768104
157	0.2261561691
158	0.2256811144
159	0.2254108086
160	0.224678302
161	0.2239008659
162	0.223457311
163	0.2225851213
164	0.2220180567
165	0.2217426533
166	0.221405622
167	0.2207973705
168	0.2202325412
169	0.2199817111
170	0.2193390807
171	0.2182698139
172	0.2177378224
173	0.2173466995
174	0.216738685
175	0.2162824116
176	0.2159021104
177	0.2154551854
178	0.2149793009
179	0.2144819084
180	0.2141423538
181	0.2137120254
182	0.2133663402
183	0.2128493026
184	0.2122199496
185	0.2117211684
186	0.2112756998
187	0.2108862535
188	0.2105368255
189	0.2102862156
190	0.2097901949
191	0.2094455258
192	0.2092255858
193	0.2089504534
194	0.2086368946
195	0.2084096216
196	0.2082324774
197	0.2076412629
198	0.2072868051
199	0.2069548375
200	0.2064449636
201	0.2061748949
202	0.2058426225
203	0.2053445187
204	0.2050154979
205	0.2047701718
206	0.2045294352
207	0.2042790454
208	0.2040284863
209	0.2037473926
210	0.2033436867
211	0.2030233538
212	0.2027177377
213	0.2022556893
214	0.2019495652
215	0.2015172554
216	0.2011008141
217	0.2007607514
218	0.2000512262
219	0.1996556831
220	0.1992937399
221	0.1991269432
222	0.1988141465
223	0.198500503
224	0.1981388139
225	0.1975165737
226	0.1972937378
227	0.1969086947
228	0.196504142
229	0.1960998603
230	0.1957747007
231	0.1953616126
232	0.1950178411
233	0.1946918856
234	0.1943179521
235	0.1939972466
236	0.1934790744
237	0.1932639949
238	0.1930239526
239	0.192789499
240	0.1925241214
241	0.192017008
242	0.191657114
243	0.1913751905
244	0.1912190123
245	0.1909572927
246	0.1907383012
247	0.1904095683
248	0.1899246402
249	0.1896170427
250	0.1892969637
251	0.1890168015
252	0.1887656158
253	0.1884025718
254	0.1881632069
255	0.1877957258
256	0.1876202413
257	0.1871897775
258	0.1869375587
259	0.1865335649
260	0.1860347667
261	0.1855917538
262	0.185381484
263	0.1851060637
264	0.184767051
265	0.1844563373
266	0.1842372611
267	0.1839853979
268	0.1838266625
269	0.1834528814
270	0.1830567964
271	0.1828142816
272	0.1825004857
273	0.1823059488
274	0.1820949677
275	0.1818368554
276	0.1815521206
277	0.1813478459
278	0.1811948855
279	0.1810378944
280	0.1804390081
281	0.1803004935
282	0.1800663955
283	0.1797533109
284	0.1793176818
285	0.1790625501
286	0.1787219455
287	0.1784583122
288	0.1781592501
289	0.1778269947
290	0.1773994268
291	0.1772537994
292	0.1768884521
293	0.1765828191
294	0.1763794081
295	0.176172881
296	0.1760057794
297	0.1757187076
298	0.1754943306
299	0.1750292169
300	0.174627086
301	0.1743206062
302	0.1741808384
303	0.1738005881
304	0.1734760382
305	0.1731189046
306	0.1727563856
307	0.1721897273
308	0.1719545286
309	0.1716436456
310	0.1713902074
311	0.1711295717
312	0.1707261368
313	0.1704163207
314	0.170016239
315	0.1697521146
316	0.1694537807
317	0.1690737166
318	0.1688370107
319	0.1682827999
320	0.1680115119
321	0.1678160266
322	0.1676420663
323	0.1672327886
324	0.1668555697
325	0.1664716951
326	0.1661045358
327	0.1659091691
328	0.1655422808
329	0.1652851676
330	0.1651039251
331	0.1649271365
332	0.164665654
333	0.164449135
334	0.164196188
335	0.1639649013
336	0.16364887
337	0.1633976334
338	0.1632890437
339	0.162944256
340	0.16273927
341	0.1625236147
342	0.1622127148
343	0.1620222593
344	0.1617443834
345	0.1615166024
346	0.161264265
347	0.1610115212
348	0.1608816268
349	0.1606913915
350	0.1604322969
351	0.1601581468
352	0.1599270803
353	0.1597404522
354	0.1595889821
355	0.1593178803
356	0.1590428157
357	0.1587209754
358	0.1584748026
359	0.1582429401
360	0.157896967
361	0.1576776875
362	0.1574822023
363	0.157155908
364	0.1569556301
365	0.1567667666
366	0.1565598499
367	0.1563556938
368	0.1561515884
369	0.155986045
370	0.1558807915
371	0.1555263507
372	0.1553536605
373	0.1550474008
374	0.1547939965
375	0.1545243173
376	0.1542020029
377	0.1540082282
378	0.1538036825
379	0.1534799116
380	0.1532572959
381	0.1529432629
382	0.1527873557
383	0.1526278582
384	0.1523453081
385	0.1521270108
386	0.1519166563
387	0.1516901454
388	0.1515417575
389	0.1513420384
390	0.1510791842
391	0.1507631698
392	0.1503346366
393	0.1500097649
394	0.1497745493
395	0.1494895944
396	0.1492142249
397	0.1490247517
398	0.1488366503
399	0.1486354239
400	0.1483640851
401	0.1481418927
402	0.1478040147
403	0.1476367946
404	0.147483089
405	0.147160673
406	0.1469165662
407	0.146701673
408	0.1465383142
409	0.1463358008
410	0.1460508967
411	0.145862338
412	0.1456194167
413	0.1454391564
414	0.1451935932
415	0.1449347527
416	0.1447034829
417	0.1443279406
418	0.1441516262
419	0.1439832037
420	0.1437947636
421	0.143648408
422	0.1434020657
423	0.143165292
424	0.1429163925
425	0.1426484577
426	0.1424145968
427	0.1421221226
428	0.1418571006
429	0.1417223034
430	0.1415279613
431	0.1412557926
432	0.1411125107
433	0.1409431398
434	0.1407233184
435	0.1403786154
436	0.1401612751
437	0.1400038267
438	0.1398342018
439	0.1396759406
440	0.1394252883
441	0.1392281773
442	0.1390872409
443	0.138877767
444	0.1386414844
445	0.1384376755
446	0.1380821846
447	0.1378432601
448	0.137517711
449	0.1373233943
450	0.1371451239
451	0.1369913506
452	0.1368381106
453	0.1366910268
454	0.1364988016
455	0.1362609355
456	0.1361167561
457	0.1359054532
458	0.1357425093
459	0.1355120016
460	0.1352251923
461	0.1350806741
462	0.1348496415
463	0.1346222669
464	0.1344791713
465	0.1342721869
466	0.1341175922
467	0.1338988123
468	0.1337849641
469	0.1337038267
470	0.1334762319
471	0.133114221
472	0.1328154637
473	0.1326008838
474	0.132469245
475	0.132365575
476	0.1320258849
477	0.1318056485
478	0.1315067643
479	0.1311828749
480	0.1310027416
481	0.130754003
482	0.1305099978
483	0.1303116336
484	0.1301760573
485	0.1300322165
486	0.1298410329
487	0.1296497815
488	0.129484907
489	0.1292989479
490	0.12919919
491	0.1289851605
492	0.1288272295
493	0.1287034825
494	0.1284343961
495	0.1281930329
496	0.128059057
497	0.1278034341
498	0.1276444108
499	0.1275566516
500	0.1273909896
501	0.1271586953
502	0.1270813344
503	0.1268702008
504	0.1266882216
505	0.1264890614
506	0.1263280905
507	0.1262164015
508	0.1260798345
509	0.1258603264
510	0.1256063887
511	0.1254258405
512	0.1253453804
513	0.1250215249
514	0.1247865632
515	0.1245865901
516	0.1244236208
517	0.1243776243
518	0.1242605161
519	0.1241741371
520	0.1240316512
521	0.1238873277
522	0.1237556212
523	0.123644779
524	0.1234939186
525	0.1233345904
526	0.123239134
527	0.1231283173
528	0.1229416554
529	0.122815817
530	0.1227051188
531	0.1225578825
532	0.1224747636
533	0.1223868265
534	0.12229535
535	0.1222422406
536	0.1220915664
537	0.1218843449
538	0.1216949141
539	0.1215030276
540	0.1213947258
541	0.1211258764
542	0.1208815157
543	0.1208078128
544	0.1207030166
545	0.1205837999
546	0.1204865145
547	0.1202835354
548	0.1201071279
549	0.1198682796
550	0.1197294686
551	0.1196398465
552	0.1194909336
553	0.1193984918
554	0.1192748549
555	0.1191293291
556	0.1189845484
557	0.1187163257
558	0.1185227626
559	0.1183194786
560	0.1181427578
561	0.1179359258
562	0.1176669748
563	0.117437568
564	0.1172941252
565	0.1170265545
566	0.1169313522
567	0.1167607281
568	0.1166645689
569	0.1165255294
570	0.1163903341
571	0.1162652578
572	0.1160732951
573	0.1159358559
574	0.115844608
575	0.1157536734
576	0.115650105
577	0.1154796842
578	0.115315106
579	0.1150772484
580	0.115010506
581	0.114862406
582	0.114730564
583	0.1146478346
584	0.1144608848
585	0.114345885
586	0.1142227901
587	0.1140926755
588	0.1139661512
589	0.1138331914
590	0.1137257363
591	0.1136628806
592	0.1134899618
593	0.1133943192
594	0.1132528155
595	0.1131063243
596	0.1128977819
597	0.1127389448
598	0.112650686
599	0.1125779231
600	0.1124233961
601	0.1122994375
602	0.1121152482
603	0.112023814
604	0.1118870099
605	0.1116797884
606	0.1115148546
607	0.1114329805
608	0.1111961644
609	0.1110714268
610	0.1109597971
611	0.1107916456
612	0.1107391374
613	0.1106415896
614	0.1105525179
615	0.1104435386
616	0.1102981821
617	0.1101988053
618	0.1100206111
619	0.1099289736
620	0.1098232036
621	0.1096752899
622	0.1095947452
623	0.1095158009
624	0.1093869733
625	0.1092191097
626	0.1091307408
627	0.1090584436
628	0.1089691772
629	0.1087389574
630	0.1086180726
631	0.1085037248
632	0.1083556926
633	0.1082224788
634	0.108049924
635	0.1078908499
636	0.1076481573
637	0.1074611143
638	0.1073830167
639	0.1072739782
640	0.1071809606
641	0.1069995486
642	0.1068154863
643	0.1067359577
644	0.1065033416
645	0.1064282416
646	0.1063515412
647	0.1062183105
648	0.1061005079
649	0.1060013342
650	0.1058253755
651	0.1057089616
652	0.1055401835
653	0.1053621248
654	0.1051830499
655	0.1051082548
656	0.1050004186
657	0.104857594
658	0.1047526115
659	0.1046538358
660	0.104608322
661	0.1045036358
662	0.1044416608
663	0.1042423227
664	0.1041126315
665	0.1040090377
666	0.1039376127
667	0.1038364152
668	0.1036630645
669	0.1035061073
670	0.1034023272
671	0.1031848344
672	0.1030050568
673	0.1029099137
674	0.1027678766
675	0.1026002416
676	0.1025297988
677	0.1024662234
678	0.1023613425
679	0.1022343778
680	0.1020352092
681	0.1019637841
682	0.1018535432
683	0.1017905351
684	0.1016936646
685	0.1016624866
686	0.1015223462
687	0.1013509769
688	0.1011257023
689	0.1010606535
690	0.1009143486
691	0.1007989001
692	0.1006889047
693	0.100574269
694	0.1003719927
695	0.1001782857
696	0.1000365872
697	0.09988289853
698	0.09974018398
699	0.09967384804
700	0.09959631781
701	0.09947130074
702	0.09930082061
703	0.09928790737
704	0.09914062873
705	0.09898367997
706	0.09890698804
707	0.09874699092
708	0.09855645081
709	0.09849808298
710	0.09843582001
711	0.09832228513
712	0.09825133431
713	0.09813367566
714	0.098027948
715	0.09797165476
716	0.09787022869
717	0.09781721244
718	0.0977089106
719	0.0976384255
720	0.09756109003
721	0.09743026412
722	0.09737351361
723	0.09726929321
724	0.09716741835
725	0.09707111524
726	0.09700617647
727	0.0969811629
728	0.0968852493
729	0.09684184389
730	0.09674279724
731	0.09665770536
732	0.09656947196
733	0.09653841245
734	0.09643790089
735	0.09629626174
736	0.09617575795
737	0.09607883669
738	0.09601743743
739	0.09595207528
740	0.09584411215
741	0.09578125644
742	0.09573310065
743	0.09557245151
744	0.09539818631
745	0.09532277301
746	0.09509916655
747	0.09503981646
748	0.09493268317
749	0.09484104576
750	0.09475996756
751	0.09470994041
752	0.09462752432
753	0.09453265225
754	0.09447264169
755	0.09433430493
756	0.09424903522
757	0.09416000586
758	0.09403060253
759	0.09385427121
760	0.09382848708
761	0.09362510148
762	0.0935490785
763	0.09332316036
764	0.09314444115
765	0.09307576814
766	0.09301778135
767	0.09292792215
768	0.09283841014
769	0.09268282468
770	0.09262492257
771	0.09252465658
772	0.0924401151
773	0.09234861317
774	0.09226478297
775	0.09217256976
776	0.09208320169
777	0.09189850429
778	0.09185026383
779	0.09174171643
780	0.09157946689
781	0.09147383238
782	0.09139989245
783	0.09125844805
784	0.09119317058
785	0.09111241416
786	0.09099836275
787	0.09083687531
788	0.09079453683
789	0.09068103583
790	0.09051628833
791	0.09040060266
792	0.09036702824
793	0.09028172467
794	0.09018697961
795	0.09014209235
796	0.09005031099
797	0.09001658415
798	0.08982282632
799	0.0897780068
800	0.08972275508
801	0.08966901062
802	0.08952048722
803	0.08943402357
804	0.08930283355
805	0.08907919322
806	0.08889470751
807	0.08879260403
808	0.0887304596
809	0.08868792637
810	0.08863469843
811	0.08858761803
812	0.08853162962
813	0.08850876684
814	0.08844288816
815	0.08842439472
816	0.08841308187
817	0.0882258103
818	0.08816339491
819	0.08799539581
820	0.0878909383
821	0.08780787867
822	0.08779422028
823	0.08767517293
824	0.08758541535
825	0.08745972086
826	0.08730180679
827	0.08717876269
828	0.08702410022
829	0.08690330853
830	0.08685309509
831	0.08675271901
832	0.08666533238
833	0.08659845452
834	0.08653614921
835	0.08650158407
836	0.08635018166
837	0.08621822107
838	0.08613350177
839	0.08602859548
840	0.08597311513
841	0.08590307035
842	0.08585326336
843	0.08572634952
844	0.08558663253
845	0.08549265803
846	0.08532865569
847	0.08525513915
848	0.08520877851
849	0.08511406732
850	0.08506437041
851	0.08501753558
852	0.08489411044
853	0.08479669806
854	0.08467811644
855	0.08459347334
856	0.08451236975
857	0.08438240754
858	0.08436357538
859	0.08424948164
860	0.08418720173
861	0.08414867371
862	0.08404998271
863	0.08395025018
864	0.08386672483
865	0.08379351312
866	0.08370668536
867	0.0835658337
868	0.08350405338
869	0.08342040948
870	0.08333564784
871	0.08316244111
872	0.08311294742
873	0.08297568606
874	0.08289852841
875	0.08283634165
876	0.082773994
877	0.08263834997
878	0.08259175223
879	0.08246557509
880	0.08238877308
881	0.08233358064
882	0.08216595412
883	0.08207761064
884	0.0819920615
885	0.08191962882
886	0.08178138521
887	0.08164801052
888	0.08154332439
889	0.08138919538
890	0.08131890503
891	0.0812728831
892	0.08121709792
893	0.08105693144
894	0.08097062021
895	0.08084224993
896	0.08062027774
897	0.08048481153
898	0.08042950053
899	0.08034169899
900	0.08033376476
901	0.08018469943
902	0.08008088547
903	0.08004428808
904	0.07995899298
905	0.07988379137
906	0.07984206256
907	0.07972789261
908	0.07961321459
909	0.07948534391
910	0.0793633498
911	0.07930653156
912	0.07920868733
913	0.07915164892
914	0.07912241844
915	0.0790714175
916	0.07899801951
917	0.07891363044
918	0.07881145922
919	0.07873157497
920	0.07858525317
921	0.07848867063
922	0.07839898079
923	0.07833607427
924	0.07821424952
925	0.07805310926
926	0.07796736536
927	0.07788963191
928	0.07781342264
929	0.07773507951
930	0.07765840452
931	0.07759037505
932	0.0774957316
933	0.07742561061
934	0.07732308374
935	0.07719097921
936	0.07711651428
937	0.0771108748
938	0.07704165985
939	0.07691764196
940	0.07676788228
941	0.07662354193
942	0.07655413222
943	0.07644796424
944	0.07631540246
945	0.07624408752
946	0.07617532982
947	0.07613200908
948	0.0760200238
949	0.07596324789
950	0.0758421683
951	0.07578440168
952	0.07570007189
953	0.07560184661
954	0.07552517162
955	0.07544201037
956	0.07536543699
957	0.07529872848
958	0.07521024952
959	0.07512630077
960	0.07505236932
961	0.07497799754
962	0.0749340756
963	0.07484727324
964	0.07480298719
965	0.07473964882
966	0.07467658141
967	0.0745870948
968	0.07451686372
969	0.07442819847
970	0.07423116364
971	0.07415986564
972	0.0740345268
973	0.07397224689
974	0.07388210826
975	0.07383592544
976	0.07374963115
977	0.07371443093
978	0.07356459504
979	0.0734253099
980	0.0733643933
981	0.07330139363
982	0.07323681898
983	0.0731591194
984	0.07305977638
985	0.0729927461
986	0.07291846746
987	0.07288027815
988	0.0727945766
989	0.07268460662
990	0.0725347792
991	0.07247465856
992	0.07236106441
993	0.07235337574
994	0.07223224534
995	0.07212186045
996	0.07204539715
997	0.07198177935
998	0.07189731407
999	0.07187076785
